,City,Country,Latitude,Logitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,-37.62,-73.65,66.79,69,48,7.7
1,Pisco,PE,-13.7,-76.22,73.22,30,75,10.29
2,Bethel,US,41.37,-73.41,51.17,45,1,14.99
3,'Ewa Beach,US,21.32,-158.01,76.17,73,40,3.36
4,Salalah,OM,17.02,54.09,73.4,64,20,3.36
5,Mandal,IN,25.45,74.57,53.55,49,0,4.18
6,La Ronge,CA,55.1,-105.28,-4.0,64,75,10.29
7,Punta Arenas,CL,-53.15,-70.92,57.67,58,75,14.99
8,Puerto Ayora,EC,-0.74,-90.35,83.86,62,75,20.8
9,Atuona,PF,-9.8,-139.03,80.96,78,29,16.78
10,Hobart,AU,-42.88,147.33,44.22,70,40,10.29
11,Santa Luzia,BR,-19.77,-43.85,89.02,38,40,5.82
12,Poum,NC,-20.23,164.02,80.98,82,100,21.79
13,Albanel,CA,48.88,-72.45,32.0,84,90,9.17
14,Nuuk,GL,64.18,-51.72,23.0,73,20,18.34
15,Touros,BR,-5.2,-35.46,86.0,66,40,12.75
16,Shimoda,JP,34.67,138.95,38.48,76,0,10.69
17,Busselton,AU,-33.65,115.33,65.52,34,57,14.7
18,Barrow,US,71.29,-156.79,-27.4,67,1,10.29
19,Provideniya,RU,64.38,-173.3,-5.44,88,100,23.67
20,Naliya,IN,23.27,68.83,61.81,73,0,9.53
21,Arraial do Cabo,BR,-22.97,-42.03,85.08,79,40,16.11
22,Terrak,NO,65.09,12.37,26.46,86,100,6.93
23,Palmer,US,42.16,-72.33,43.52,64,90,14.99
24,Tuktoyaktuk,CA,69.45,-133.04,-40.0,65,20,4.7
25,Haines Junction,CA,60.75,-137.51,7.43,94,34,7.81
26,New Norfolk,AU,-42.78,147.06,44.04,70,40,10.29
27,Ushuaia,AR,-54.8,-68.3,55.4,62,20,5.82
28,Quatre Cocos,MU,-20.21,57.76,79.3,78,75,12.75
29,Albany,US,42.6,-73.97,41.72,69,40,11.41
30,Aripuana,BR,-9.17,-60.63,82.42,91,85,2.64
31,Churapcha,RU,62.0,132.43,-36.0,96,87,5.82
32,Cherskiy,RU,68.75,161.3,-30.86,98,100,7.54
33,Pucallpa,PE,-8.38,-74.55,35.6,100,75,2.24
34,Bredasdorp,ZA,-34.53,20.04,73.56,88,15,6.93
35,Cabra,ES,37.47,-4.44,56.5,82,0,2.51
36,Nanortalik,GL,60.14,-45.24,31.48,65,100,49.93
37,Port Lincoln,AU,-34.73,135.87,60.87,66,78,13.6
38,Panarukan,ID,-7.7,113.92,81.81,76,98,5.59
39,Kaitangata,NZ,-46.28,169.85,54.64,97,100,7.74
40,Airai,TL,-8.93,125.41,65.08,80,54,6.2
41,Kapaa,US,22.08,-159.32,75.51,73,1,12.75
